user_id,department,user_role,location,login_hour,login_duration,accessed_sensitive_files,file_download_mb,external_device_access,failed_logins,vpn_usage,is_admin,number_of_devices_used,suspicious_ip_flag,weekend_activity,days_since_last_password_change,is_anomaly
2026,Marketing,Engineer,Berlin,3,6.89,18,5827,0,4,0,1,9,1,1,107,1
5642,Operations,Executive,Toronto,1,3.64,9,5254,0,5,0,0,6,1,1,8,1
4722,Operations,Support,New York,6,1.55,17,4846,1,2,0,1,1,0,1,170,0
2115,Sales,Manager,Bangalore,19,3.39,13,1103,0,7,1,0,4,1,1,8,1
2546,Marketing,Support,London,10,4.65,2,5802,0,2,1,1,10,0,0,45,0
3268,Operations,Executive,New York,17,9.6,20,3435,1,7,0,0,7,1,1,27,1
3470,Operations,Executive,New York,8,8.8,6,975,1,2,1,0,4,1,0,177,0
2473,Marketing,Engineer,Sydney,10,9.44,13,1275,0,5,1,0,10,1,1,68,1
2415,Operations,Executive,New York,20,3.24,19,1319,0,2,1,0,5,1,1,83,0
1127,Operations,Manager,Sydney,9,9.62,15,465,1,0,0,0,3,0,1,45,1
5261,IT,Executive,Sydney,17,1.15,16,5337,0,0,1,0,1,0,1,85,0
2009,IT,Analyst,Bangalore,3,9,15,2608,0,0,1,0,6,1,1,31,1
7511,Marketing,Manager,Sydney,1,2.39,16,3288,0,5,0,1,1,0,1,34,0
5687,HR,Support,Bangalore,6,8.33,6,4421,1,2,1,1,9,0,1,12,0
1764,Sales,Analyst,Berlin,17,7.86,1,1734,1,2,0,1,8,0,0,134,0
5557,Sales,Executive,Bangalore,10,6.33,6,3417,1,7,1,0,9,1,1,15,1
9908,Operations,Executive,New York,11,7.79,5,2541,0,2,0,1,9,0,1,112,0
5771,HR,Manager,London,3,2.41,15,1579,1,1,1,1,3,0,1,54,1
8757,Marketing,Executive,Berlin,20,6.54,2,2064,0,7,1,0,6,1,1,59,1
5482,Marketing,Manager,Sydney,22,5.42,3,3709,0,1,0,1,4,1,1,55,0
8381,Operations,Engineer,Toronto,9,4.58,1,4708,0,7,0,1,5,1,1,96,1
3608,Operations,Manager,Toronto,2,4.41,19,742,1,2,0,0,10,1,0,136,1
3951,Finance,Analyst,Sydney,13,4.74,5,3469,0,4,1,0,1,1,0,92,1
5609,Finance,Engineer,Bangalore,5,8.7,17,1816,1,5,0,1,5,1,0,104,1
9494,IT,Support,Toronto,6,6.73,7,896,0,2,0,1,4,0,0,59,0
